Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Ford,2022,Ranger,Ute / Tray,2022 Ford Ranger Wildtrak 3.0 (4X4),USED,Automatic,3.0,4WD,Diesel,8.4,13260,White / Black,"Sunbury, VIC",6.0,Ute / Tray,4.0,5.0,88990.0
Holden,2014,Colorado,Ute / Tray,2014 Holden Colorado LTZ (4X4),USED,Manual,2.8,4WD,Diesel,8.1,125747,White / -,"Slacks Creek, QLD",4.0,Ute / Tray,4.0,5.0,29990.0
Audi,2016,Q5,SUV,2016 Audi Q5 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,7.9,56911,White / Black,"Nunawading, VIC",4.0,SUV,4.0,5.0,38900.0
Suzuki,2011,Grand,SUV,2011 Suzuki Grand Vitara (4X4),USED,Automatic,2.4,4WD,Unleaded,9.9,221175,White / -,"Slacks Creek, QLD",4.0,SUV,4.0,5.0,13999.0
Hyundai,2020,Kona,SUV,2020 Hyundai Kona Active (fwd),USED,Automatic,2.0,Front,Unleaded,7.2,54608,Silver / Black,"Mornington, VIC",4.0,SUV,4.0,5.0,26490.0
Toyota,2019,Corolla,Hatchback,2019 Toyota Corolla ZR,USED,Automatic,2.0,Front,Unleaded,6.0,49303,Silver / -,"Elsternwick, VIC",4.0,Hatchback,5.0,5.0,34990.0
Mazda,2012,2,Hatchback,2012 Mazda 2 Maxx,USED,Manual,1.5,Front,Unleaded,6.4,153690,Blue / -,"Alphington, VIC",4.0,Hatchback,5.0,5.0,8488.0
Toyota,2017,RAV4,SUV,2017 Toyota RAV4 GX (2WD),USED,Automatic,2.0,Front,Unleaded,7.4,30694,Grey / -,"Glenroy, VIC",4.0,SUV,4.0,5.0,31498.0
Hyundai,2018,Tucson,SUV,2018 Hyundai Tucson Active (fwd),USED,Automatic,2.0,Front,Unleaded,7.9,44230,White / -,"Moorooka, QLD",4.0,SUV,4.0,5.0,27987.0
Holden,2013,Cruze,Sedan,2013 Holden Cruze SRI V,USED,Automatic,1.6,Front,Unleaded,7.9,179237,Grey / -,"St Albans, VIC",4.0,Sedan,4.0,5.0,9999.0
Hyundai,2011,I30,Hatchback,2011 Hyundai I30 SX,USED,Automatic,2.0,Front,Unleaded,7.6,186573,Black / Black,"Ringwood, VIC",4.0,Hatchback,5.0,5.0,11990.0
Volkswagen,2015,Passat,Sedan,2015 Volkswagen Passat 140 TDI Highline,USED,Automatic,2.0,Front,Diesel,4.8,129024,Silver / Black,"Hendra, QLD",4.0,Sedan,4.0,5.0,22490.0
MG,2022,ZST,Brighton MG,2022 MG ZST Vibe,NEW,Automatic,1.5,Front,Unleaded,6.9,10,Blue / Black,"Elsternwick, VIC",4.0,SUV,5.0,5.0,27980.0
Honda,2019,Accord,Sedan,2019 Honda Accord VTI-L,USED,Automatic,2.4,Front,Unleaded,8.2,53617,Black / Black,"Pinkenba, QLD",4.0,Sedan,4.0,5.0,37990.0
Mercedes-Benz,2022,GLE,SUV,2022 Mercedes-Benz GLE 450 4Matic (hybrid),USED,Automatic,3.0,AWD,Hybrid,9.1,14742,White / Black,"Berwick, VIC",6.0,SUV,4.0,5.0,145990.0
Hyundai,2016,Imax,Wagon,2016 Hyundai Imax,USED,Automatic,2.4,Rear,Premium,10.6,199000,White / -,"Slacks Creek, QLD",4.0,Wagon,4.0,8.0,22900.0
Toyota,2018,Kluger,SUV,2018 Toyota Kluger GX (4X4),USED,Automatic,3.5,AWD,Unleaded,9.5,170427,White / -,"Slacks Creek, QLD",6.0,SUV,4.0,7.0,37990.0
Hyundai,2021,Santa,SUV,2021 Hyundai Santa FE Highlander MPI (2WD),USED,Automatic,3.5,Front,Unleaded,10.5,35043,White / Black,"Essendon Fields, VIC",6.0,SUV,4.0,7.0,58990.0
Volkswagen,2022,Tiguan,Doncaster Volkswagen,2022 Volkswagen Tiguan Allspace 162TSI Monochrome,NEW,Automatic,2.0,AWD,Premium,8.6,20,Black / Black,"Doncaster, VIC",4.0,SUV,4.0,7.0,62109.0
Nissan,2017,Leaf,USED Dealer ad,2017 Nissan Leaf ZE0 S EDITION 5 SEATER 100% ELECTRIC,USED,Missing,,Other,Missing,,8108,Silver / -,"Moorabbin, VIC",,Hatchback,,,26950.0
Volkswagen,2009,Tiguan,SUV,2009 Volkswagen Tiguan 125 TSI,USED,Automatic,2.0,4WD,Premium,9.2,123040,Silver / Black,"Mordialloc, VIC",4.0,SUV,4.0,5.0,10999.0
Subaru,2009,Impreza,Hatchback,2009 Subaru Impreza R (awd),USED,Automatic,2.0,AWD,Premium,8.8,140991,Blue / Black,"Ringwood, VIC",4.0,Hatchback,5.0,5.0,13577.0
Volkswagen,2012,Scirocco,Hatchback,2012 Volkswagen Scirocco R,USED,Automatic,2.0,Front,Premium,8.2,99478,Blue / Cloth,"Kedron, QLD",4.0,Hatchback,3.0,4.0,26990.0
Bentley,2007,Continental,Sedan,2007 Bentley Continental Flying Spur,USED,Automatic,6.0,AWD,Premium,17.1,60919,Black / -,"Keilor East, VIC",12.0,Sedan,4.0,4.0,99980.0
Hyundai,2009,Tucson,SUV,2009 Hyundai Tucson City SX,USED,Automatic,2.0,Front,Unleaded,9.2,66466,White / Grey,"Ringwood, VIC",4.0,SUV,4.0,5.0,14990.0
Mercedes-Benz,2003,CLK320,Coupe,2003 Mercedes-Benz CLK320 Avantgarde,USED,Automatic,3.2,Rear,Unleaded,0.0,158925,Silver / Grey,"Ravenhall, VIC",6.0,Coupe,2.0,5.0,10999.0
